[     1.997675] S 68a 00a P  | DIG1 seg=0x00 ' '
[     1.997991] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     1.998308] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     1.998624] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     1.998941] S 4Fa 2Fa P  | KEY released/idle
[     2.197444] S 68a 00a P  | DIG1 seg=0x00 ' '
[     2.197760] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     2.198078] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     2.198395] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     2.198692] S 4Fa 2Fa P  | KEY released/idle
[     2.397195] S 68a 00a P  | DIG1 seg=0x00 ' '
[     2.397512] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     2.397829] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     2.398146] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     2.398443] S 4Fa 2Fa P  | KEY released/idle
[     2.597007] S 68a 00a P  | DIG1 seg=0x00 ' '
[     2.597323] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     2.597622] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     2.597938] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     2.598254] S 4Fa 2Fa P  | KEY released/idle
[     2.796759] S 68a 00a P  | DIG1 seg=0x00 ' '
[     2.797075] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     2.797393] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     2.797709] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     2.798026] S 4Fa 2Fa P  | KEY released/idle
[     2.996512] S 68a 00a P  | DIG1 seg=0x00 ' '
[     2.996809] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     2.997127] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     2.997443] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     2.997759] S 4Fa 2Fa P  | KEY released/idle
[     3.196221] S 68a 00a P  | DIG1 seg=0x00 ' '
[     3.196538] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     3.196836] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     3.197152] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     3.197469] S 4Fa 2Fa P  | KEY released/idle
[     3.395962] S 68a 00a P  | DIG1 seg=0x00 ' '
[     3.396259] S 6Aa 00a P  | DIG2 seg=0x00 ' '
